#FILTER    PHOTPLAM    PHOTFLAM    PHOTBW    STmag    VEGAmag    ABmag
F435W    4318.862    3.184049E-19    293.3736    25.14256    25.76695    25.65777
F475W    4746.921    1.820979E-19    420.1551    25.74924    26.16252    26.05923
F502N    5022.977    5.344764E-18    28.64301    22.08006    22.35648    22.2673
F550M    5581.433    3.848120E-19    163.0966    24.93693    24.87094    24.89525
F555W    5360.972    1.954235E-19    360.0931    25.67256    25.72747    25.7184
F606W    5921.124    7.862481E-20    672.249    26.66109    26.40598    26.49113
F625W    6311.369    1.185525E-19    415.3759    26.21524    25.74339    25.90667
F658N    6583.988    1.979690E-18    36.84746    23.15848    22.38228    22.7581
F660N    6599.36    5.294996E-18    34.95267    22.08998    21.40481    21.68452
F775W    7692.417    9.969696E-20    434.4087    26.4033    25.27728    25.66504
F814W    8056.948    7.033186E-20    651.9498    26.78213    25.51994    25.94333
F850LP    9033.108    1.542299E-19    525.7132    25.92959    24.32305    24.84245
F892N    8914.813    1.539083E-18    72.31738    23.43204    21.88451    22.37353
