#FILTER PHOTPLAM PHOTFLAM STMAG ABMAG VEGAMAG
F098M 9864.7 5.9744E-20 26.96 25.68 25.12
F105W 10552.0 3.0330E-20 27.70 26.27 25.63
F110W 11534.0 1.5233E-20 28.44 26.83 26.07
F125W 12486.0 2.2133E-20 28.04 26.25 25.35
F126N 12585.0 4.6108E-19 24.74 22.93 22.01
F127M 12740.0 9.2164E-20 26.49 24.65 23.69
F128N 12832.0 4.1030E-19 24.87 23.02 21.98
F130N 13006.0 3.9913E-19 24.90 23.02 22.04
F132N 13188.0 4.0080E-19 24.89 22.98 21.99
F139M 13838.0 9.0589E-20 26.51 24.49 23.42
F140W 13923.0 1.4574E-20 28.49 26.46 25.39
F153M 15322.0 7.5999E-20 26.70 24.46 23.21
F160W 15369.0 1.9106E-20 28.20 25.96 24.70
F164N 16403.0 2.7200E-19 25.31 22.93 21.55
F167N 16642.0 2.7359E-19 25.31 22.89 21.53
