#FILTER PHOTPLAM PHOTFLAM STMAG ABMAG VEGAMAG
F218W 2228.5 1.4622E-17 20.99 22.94 21.25
F225W 2372.7 4.5984E-18 22.24 24.06 22.40
F275W 2710.1 3.2596E-18 22.62 24.14 22.65
F280N 2833.5 5.7080E-17 19.51 20.94 19.51
F300X 2822.5 1.4724E-18 23.48 24.92 23.50
F336W 3354.8 1.3424E-18 23.58 24.64 23.46
F343N 3435.2 2.5415E-18 22.89 23.90 22.75
F350LP 5857.3 5.3274E-20 27.08 26.94 26.78
F373N 3730.2 1.3235E-17 21.10 21.93 21.04
F390M 3897.3 2.5193E-18 22.90 23.64 23.54
F390W 3924.4 5.0448E-19 24.64 25.37 25.15
F395N 3955.2 5.9937E-18 21.96 22.66 22.68
F410M 4109.0 2.3101E-18 22.99 23.61 23.77
F438W 4326.5 6.8074E-19 24.32 24.83 24.98
F467M 4682.6 1.6359E-18 23.37 23.71 23.86
F469N 4688.1 9.4162E-18 21.47 21.80 21.96
F475W 4773.7 2.5327E-19 25.39 25.69 25.79
F475X 4941.4 1.5389E-19 25.93 26.15 26.21
F487N 4871.4 5.9748E-18 21.96 22.21 22.03
F502N 5009.6 5.2035E-18 22.11 22.30 22.39
F547M 5447.4 4.7465E-19 24.71 24.72 24.72
F555W 5308.1 1.8762E-19 25.72 25.78 25.81
F600LP 7450.5 8.9588E-20 26.52 25.85 25.53
F606W 5887.4 1.1650E-19 26.23 26.08 25.99
F621M 6218.6 4.0967E-19 24.87 24.59 24.45
F625W 6241.3 1.7383E-19 25.80 25.52 25.37
F645N 6453.6 3.3088E-18 22.60 22.24 22.05
F656N 6561.4 1.5380E-17 20.93 20.54 19.92
F658N 6584.0 9.2876E-18 21.48 21.08 20.72
F665N 6655.9 1.9693E-18 23.16 22.74 22.50
F673N 6765.9 2.2166E-18 23.04 22.58 22.34
F689M 6876.3 3.7559E-19 24.96 24.47 24.19
F763M 7613.5 3.9210E-19 24.92 24.20 23.82
F775W 7648.5 2.1446E-19 25.57 24.85 24.47
F814W 8029.5 1.5591E-19 25.92 25.09 24.67
F845M 8437.5 4.7301E-19 24.71 23.77 23.27
F953N 9530.5 9.3850E-18 21.47 20.27 19.65
